番号,ロゴ名,ファイル名,説明,カテゴリ,特徴,推奨用途
1,Wave Text,logo1-wave-text.svg,波をベースにしたシンプルなテキストロゴ,シンプル,波・テキスト,ヘッダー・名刺
2,Swimming Fish,logo2-swimming-fish.svg,泳ぐ魚と泡のアイコン付きロゴ,アイコン,魚・泡・可愛い,子供向け・親しみやすい
3,Book Waves,logo3-book-waves.svg,本から流れる波線のデザイン,教育,本・波線・読書,教育サイト・書籍
4,Circular Badge,logo4-circular-badge.svg,円形バッジ型のロゴデザイン,バッジ,円形・バッジ・格式,公式文書・認定証
5,Water Drop,logo5-water-drop.svg,水滴をモチーフにしたデザイン,自然,水滴・透明感,清涼感・爽やか
6,Speed Lines,logo6-speed-lines.svg,速度感を表現するライン,スピード,ライン・動き・速度,スポーツ・高速
7,Gradient Text,logo7-gradient-text.svg,グラデーションテキスト,モダン,グラデーション・シンプル,ウェブ・アプリ
8,Paper Flow,logo8-paper-flow.svg,流れる紙のデザイン,紙,紙・流れ・ドキュメント,文書・オフィス
9,Minimal Icon,logo9-minimal-icon.svg,ミニマルなアイコンデザイン,ミニマル,シンプル・線・清潔,モダンサイト・アプリ
10,Splash Effect,logo10-splash-effect.svg,水しぶきエフェクト,エフェクト,水・しぶき・躍動感,アクティブ・スポーツ
11,Ribbon Banner,logo11-ribbon-banner.svg,リボンバナー型デザイン,バナー,リボン・バナー・装飾,イベント・キャンペーン
12,Flowing Letters,logo12-flowing-letters.svg,文字が流れるようなデザイン,アーティスティック,文字・動き・芸術,クリエイティブ・デザイン
13,Layered Waves,logo13-layered-waves.svg,重なる波のレイヤーデザイン,レイヤー,波・重なり・深み,背景・テクスチャ
14,Modern Geometric,logo14-modern-geometric.svg,モダンな幾何学デザイン,幾何学,図形・モダン・抽象,建築・デザイン
15,Book Pages,logo15-book-pages.svg,本のページがめくれるデザイン,本,ページ・本・読書,図書館・出版
16,Water Ripple,logo16-water-ripple.svg,水の波紋エフェクト,波紋,波紋・水・穏やか,瞑想・リラックス
17,Dynamic Arrow,logo17-dynamic-arrow.svg,ダイナミックな矢印デザイン,矢印,矢印・動き・方向,ナビ・進歩
18,Japanese Wave,logo18-japanese-wave.svg,和風の波パターン,和風,和・波・伝統,日本文化・伝統
19,Text Stream,logo19-text-stream.svg,テキストが流れるデザイン,テキスト,文字・流れ・情報,ニュース・情報
20,Clean Modern,logo20-clean-modern.svg,クリーンでモダンなデザイン,クリーン,シンプル・バー・統計,データ・分析
21,Neon Effect,logo21-neon-effect.svg,ネオンエフェクトでインパクト大,ネオン,光・ネオン・強烈,ナイトライフ・エンタメ
22,Lightning Bolt,logo22-lightning-bolt.svg,稲妻で速さを表現,稲妻,雷・速度・パワー,エネルギー・スポーツ
23,3D Chrome,logo23-3d-chrome.svg,3Dクロームエフェクト,3D,クローム・金属・高級,プレミアム・車
24,Cyber Hex,logo24-cyber-hex.svg,サイバーパンク六角形パターン,サイバー,六角形・未来・テック,IT・ゲーム
25,Dynamic S,logo25-dynamic-S.svg,ダイナミックなSモチーフ,ダイナミック,S字・動き・流線,ブランド・スタイリッシュ
26,Matrix Code,logo26-matrix-code.svg,マトリックス風コードデザイン,マトリックス,コード・デジタル・暗黒,ハッカー・SF
27,Fire Energy,logo27-fire-energy.svg,炎のエネルギーデザイン,炎,火・エネルギー・情熱,スポーツ・熱血
28,Holographic,logo28-holographic.svg,ホログラフィック効果,ホログラム,虹色・未来・幻想,先端技術・アート
29,Laser Beam,logo29-laser-beam.svg,レーザービーム精度,レーザー,光線・精密・鋭利,技術・精密機器
30,Diamond Crystal,logo30-diamond-crystal.svg,ダイヤモンドクリスタル,ダイヤモンド,宝石・透明・高級,ジュエリー・ラグジュアリー
31,Geometric Burst,logo31-geometric-burst.svg,幾何学的爆発エフェクト,爆発,爆発・放射・エネルギー,インパクト・パワー
32,Tech Circuit,logo32-tech-circuit.svg,テック回路パターン,回路,電子・回路・テクノロジー,IT・エンジニアリング
33,Space Warp,logo33-space-warp.svg,宇宙ワープトンネル,宇宙,宇宙・ワープ・SF,宇宙・未来
34,Plasma Energy,logo34-plasma-energy.svg,プラズマエネルギー,プラズマ,プラズマ・エネルギー・電気,科学・エネルギー
35,Quantum Dots,logo35-quantum-dots.svg,量子ドットネットワーク,量子,量子・ネットワーク・先端,量子技術・研究
36,Sonic Boom,logo36-sonic-boom.svg,ソニックブーム衝撃波,ソニック,音速・衝撃波・爆音,航空・高速
37,Crystal Prism,logo37-crystal-prism.svg,クリスタルプリズム光の分解,プリズム,光・分光・虹,光学・科学
38,Vortex Spiral,logo38-vortex-spiral.svg,渦巻きスパイラルパワー,渦巻き,渦・回転・力,自然・パワー
39,Atomic Structure,logo39-atomic-structure.svg,原子構造アニメーション,原子,原子・科学・回転,科学・教育
40,Cyber Shark,logo40-cyber-shark.svg,サイバーシャーク攻撃的デザイン,シャーク,鮫・攻撃的・強力,ゲーミング・スポーツ
41,Flowing Letters with Book,logo41-flowing-letters-with-book.svg,本から文字が流れるデザイン（12+15の組み合わせ）,組み合わせ,本・流れる文字・読書,読書サイト・教育